SubjectID	TrialNum	Amplitude	Width	StartPos	TargetPos	Time	Success	CursorPos	
1	2	384	32	(481,331)	(851,256)	1484	1	(758,228)	
1	2	384	32	(481,331)	(851,256)	1579	1	(758,229)	
1	2	384	32	(481,331)	(851,256)	1596	1	(760,229)	
1	2	384	32	(481,331)	(851,256)	1613	1	(764,229)	
1	2	384	32	(481,331)	(851,256)	1631	1	(771,230)	
1	2	384	32	(481,331)	(851,256)	1648	1	(779,231)	
1	2	384	32	(481,331)	(851,256)	535	1	(784,233)	
1	2	384	32	(481,331)	(851,256)	552	1	(790,234)	
1	2	384	32	(481,331)	(851,256)	569	1	(795,236)	
1	2	384	32	(481,331)	(851,256)	586	1	(799,238)	
1	2	384	32	(481,331)	(851,256)	603	1	(803,239)	
1	2	384	32	(481,331)	(851,256)	621	1	(806,241)	
1	2	384	32	(481,331)	(851,256)	639	1	(809,242)	
1	2	384	32	(481,331)	(851,256)	656	1	(811,243)	
1	2	384	32	(481,331)	(851,256)	673	1	(814,246)	
1	2	384	32	(481,331)	(851,256)	691	1	(817,249)	
1	2	384	32	(481,331)	(851,256)	707	1	(821,254)	
1	2	384	32	(481,331)	(851,256)	725	1	(825,258)	
1	2	384	32	(481,331)	(851,256)	743	1	(828,263)	
1	2	384	32	(481,331)	(851,256)	760	1	(831,267)	
1	2	384	32	(481,331)	(851,256)	777	1	(832,269)	
1	2	384	32	(481,331)	(851,256)	794	1	(833,269)	
1	2	384	32	(481,331)	(851,256)	811	1	(834,269)	
1	2	384	32	(481,331)	(851,256)	829	1	(835,270)	
1	2	384	32	(481,331)	(851,256)	846	1	(836,271)	
1	2	384	32	(481,331)	(851,256)	864	1	(838,272)	
1	2	384	32	(481,331)	(851,256)	881	1	(840,273)	
1	2	384	32	(481,331)	(851,256)	899	1	(842,274)	
1	2	384	32	(481,331)	(851,256)	915	1	(844,275)	
1	2	384	32	(481,331)	(851,256)	933	1	(845,276)	
1	2	384	32	(481,331)	(851,256)	951	1	(846,277)	
1	2	384	32	(481,331)	(851,256)	968	1	(848,277)	
